GEO_ID,NAME,B08130_001E,B08130_001M,B08130_002E,B08130_002M,B08130_003E,B08130_003M,B08130_004E,B08130_004M,B08130_005E,B08130_005M,B08130_006E,B08130_006M,B08130_007E,B08130_007M,B08130_008E,B08130_008M,B08130_009E,B08130_009M,B08130_010E,B08130_010M,B08130_011E,B08130_011M,B08130_012E,B08130_012M,B08130_013E,B08130_013M,B08130_014E,B08130_014M,B08130_015E,B08130_015M,B08130_016E,B08130_016M,B08130_017E,B08130_017M,B08130_018E,B08130_018M,B08130_019E,B08130_019M,B08130_020E,B08130_020M,B08130_021E,B08130_021M,B08130_022E,B08130_022M,B08130_023E,B08130_023M,B08130_024E,B08130_024M,B08130_025E,B08130_025M,B08130_026E,B08130_026M,B08130_027E,B08130_027M,B08130_028E,B08130_028M,B08130_029E,B08130_029M,B08130_030E,B08130_030M,B08130_031E,B08130_031M
0500000US36091,"Saratoga County, New York",116418,1182,115440,1176,64862,1472,50578,1116,978,205,96869,1266,96157,1270,50024,1318,46133,1018,712,154,8676,812,8626,815,5141,619,3485,483,50,37,945,190,943,190,305,131,638,155,2,4,2247,359,2201,349,2064,341,137,92,46,34,864,232,696,209,511,176,185,82,168,103,6817,586
0500000US36093,"Schenectady County, New York",71694,1099,71403,1129,38084,1086,33319,1113,291,142,58344,1182,58071,1204,29003,992,29068,1111,273,140,5326,583,5326,583,2881,451,2445,422,0,27,2787,409,2787,409,1212,290,1575,383,0,27,2085,334,2067,334,2011,344,56,46,18,22,946,278,946,278,771,253,175,113,0,27,2206,350
0500000US36095,"Schoharie County, New York",13745,402,13602,410,7832,436,5770,342,143,72,10832,399,10700,404,5653,417,5047,335,132,70,1200,165,1200,165,656,143,544,108,0,24,153,59,153,59,49,24,104,54,0,24,812,202,812,202,766,195,46,31,0,24,108,57,97,55,68,51,29,18,11,12,640,129
0500000US36097,"Schuyler County, New York",8135,337,8055,342,3815,292,4240,320,80,31,6355,363,6291,366,2665,262,3626,300,64,30,1006,191,994,192,464,149,530,134,12,9,66,54,66,54,20,24,46,37,0,18,259,76,259,76,254,75,5,8,0,18,92,33,88,32,55,27,33,23,4,5,357,129
0500000US36099,"Seneca County, New York",15185,489,15052,492,8544,386,6508,372,133,66,12111,422,12030,426,6363,371,5667,342,81,53,1544,244,1526,242,804,180,722,198,18,16,101,49,101,49,53,35,48,31,0,24,507,118,502,118,451,111,51,31,5,7,308,145,279,128,259,126,20,19,29,42,614,99
0500000US36101,"Steuben County, New York",42419,625,40990,657,31518,665,9472,493,1429,190,33731,761,32562,758,24460,637,8102,446,1169,170,4573,349,4373,361,3225,319,1148,174,200,79,252,93,242,90,180,62,62,60,10,14,1807,252,1791,254,1730,247,61,50,16,15,623,147,589,147,490,140,99,57,34,25,1433,222
0500000US36103,"Suffolk County, New York",731210,3965,725564,4024,558243,4252,167321,2696,5646,509,582485,4176,578415,4228,464777,4286,113638,2232,4070,436,56885,2063,56662,2070,43761,1813,12901,931,223,92,46663,1452,45841,1435,7317,751,38524,1372,822,174,10633,817,10425,807,9469,807,956,185,208,68,8039,645,7716,637,6414,624,1302,265,323,124,26505,1335
0500000US36105,"Sullivan County, New York",31858,943,31012,945,21803,894,9209,614,846,174,25839,915,25122,910,17328,803,7794,516,717,160,2524,314,2471,314,1651,267,820,206,53,35,697,237,652,238,115,74,537,224,45,45,894,191,877,189,859,189,18,19,17,16,401,141,387,140,347,132,40,29,14,18,1503,284
0500000US36107,"Tioga County, New York",22596,603,20479,603,9057,557,11422,486,2117,298,18885,593,16973,599,6883,505,10090,463,1912,289,2202,340,2033,332,920,211,1113,255,169,78,193,75,187,75,40,28,147,64,6,10,440,101,424,100,399,96,25,23,16,17,285,116,271,109,224,104,47,39,14,23,591,119
0500000US36109,"Tompkins County, New York",48990,931,48387,938,44273,1086,4114,521,603,222,30029,919,29794,909,26209,1016,3585,507,235,107,4614,537,4567,547,4227,541,340,97,47,70,3202,427,3023,398,2967,394,56,42,179,121,6937,677,6854,679,6755,691,99,56,83,75,1102,231,1043,219,1009,215,34,21,59,60,3106,309
